en_data,en_tokenized,en_idized,en_len,ref0,ref1,ref2,ref3,ref4,pred
Which authorities can access SIS II ?,"['which', 'authorities', 'can', 'access', 'sis', 'ii', '?']","[63, 3375, 46, 560, 27779, 8561, 45, 1]",8,Which authorities can access ?,what bodies can access SIS II ?,Who has access to SIS II ?,Which authorities can access ?,who access SIS II ?,can the authorities ?
"Then let them think of how today , after years of cooperation and unity , none but those on the political extremes would question that we are stronger together and safer together than ever we were apart .","['then', 'let', 'them', 'think', 'of', 'how', 'today', ',', 'after', 'years', 'of', 'cooperation', 'and', 'unity', ',', 'none', 'but', 'those', 'on', 'the', 'political', 'extremes', 'would', 'question', 'that', 'we', 'are', 'stronger', 'together', 'and', 'safer', 'together', 'than', 'ever', 'we', 'were', 'apart', '.']","[123, 437, 92, 144, 9, 115, 323, 4, 125, 128, 9, 6375, 7, 9637, 4, 2359, 44, 173, 21, 5, 873, 20727, 75, 586, 17, 53, 28, 4252, 440, 7, 9106, 440, 100, 376, 53, 68, 2738, 6, 1]",39,Then let them think of how today none but those on the political extremes would question that we are stronger and safer together than we ever were apart .,none but those on the political extremes would question that we are stronger together,"Think how after years of cooperation and unity , no one but those at the political extremes would question that we are stronger , together , and safer than ever .",Then let them think of how today none but those on the political extremes would question that we are stronger and safer together than we ever were apart .,stronger and safer together than we are apart,"then , after years of cooperation and unity , it was not possible for us to have a stronger and more secure climate of our own ."
"It left 150 dead and more than 1 000 injured , and many women were raped and disembowelled .","['it', 'left', '150', 'dead', 'and', 'more', 'than', '1', '000', 'injured', ',', 'and', 'many', 'women', 'were', 'raped', 'and', 'disembowelled', '.']","[23, 341, 3418, 1547, 7, 57, 100, 94, 11517, 4011, 4, 7, 143, 466, 68, 12689, 7, 2, 6, 1]",20,"150 were dead and more than 1000 injured , and many women were abused","It left 150 dead , more than 1000 injured , and many women raped and disembowelled .","It left 150 dead and more than 1000 injured , and many women were raped and disembowelled .","150 were dead and more than 1000 injured , and many women were abused",women were raped and disembowelled,"150 deaths have been killed , and many women were raped and ."
The US productivity miracle the emergence of Wal - Mart - style retailing are virtually synonymous .,"['the', 'us', 'productivity', 'miracle', 'the', 'emergence', 'of', 'wal', '-', 'mart', '-', 'style', 'retailing', 'are', 'virtually', 'synonymous', '.']","[5, 138, 6970, 10230, 5, 14421, 9, 2, 47, 61729, 47, 718, 39749, 28, 5280, 18883, 6, 1]",18,The US productivity miracle the Wal - Mart - style retailing are synonymous .,US productivity miracle the appearance of Wal - Mart retailing are virtually identical .,The US productivity miracle the emergence of Wal - Mart - style retailing are synonymous .,The US productivity miracle the Wal - Mart - style retailing are synonymous .,Us productivity and the emergence of walmart style stores are synonymous,the success of the united states 's productivity is the emergence .
Most of the time pain occurs after simple nerve endings detect tissue injury in various ways generate signals that travel to the spinal cord and from there to the brain,"['most', 'of', 'the', 'time', 'pain', 'occurs', 'after', 'simple', 'nerve', 'endings', 'detect', 'tissue', 'injury', 'in', 'various', 'ways', 'generate', 'signals', 'that', 'travel', 'to', 'the', 'spinal', 'cord', 'and', 'from', 'there', 'to', 'the', 'brain']","[126, 9, 5, 77, 1355, 4191, 125, 733, 8427, 22550, 7126, 4208, 2434, 12, 708, 898, 4020, 4622, 17, 1008, 8, 5, 12508, 8090, 7, 37, 86, 8, 5, 1977, 1]",31,"Mostly , pain occurs when nerve endings discover tissue defect and send signal to the brain through the spinal cord","Pain mostly occurs when nerve ending detect tissue injury and send the signal to the spinal cord , the   to the brain","Nerves in injured areas send signals through the spinal cord to the brain , causing pain .","Mostly , pain occurs when nerve endings discover tissue defect and send signal to the brain through the spinal cord",The pain occurs after simple nerve endings detect tissue damage in several ways generate signals that travel to the spinal cord and thence to the brain,the majority of pain is now being resolved by simple diagnosis procedures that make the injured tissue possible to identify .
"The Prime Minister has also made a strong and positive impact in showing how the United Kingdom can work effectively with its partners in the European Union , as together we find innovative solutions to the many challenges we face in common .","['the', 'prime', 'minister', 'has', 'also', 'made', 'a', 'strong', 'and', 'positive', 'impact', 'in', 'showing', 'how', 'the', 'united', 'kingdom', 'can', 'work', 'effectively', 'with', 'its', 'partners', 'in', 'the', 'european', 'union', ',', 'as', 'together', 'we', 'find', 'innovative', 'solutions', 'to', 'the', 'many', 'challenges', 'we', 'face', 'in', 'common', '.']","[5, 4496, 4231, 51, 80, 154, 10, 839, 7, 1342, 1365, 12, 1692, 115, 5, 9065, 7004, 46, 136, 3343, 22, 106, 2513, 12, 5, 30493, 3863, 4, 27, 440, 53, 188, 3646, 2001, 8, 5, 143, 2454, 53, 670, 12, 785, 6, 1]",44,"The Prime Minister also made a strong impact in showing how the UK can work well with its partners in the EU , as together we find solutions to our common challenges .",The Prime Minister showed how the United Kingdom can work with its partners to find solutions to the challenges we have in common .,The Prime Minister has also made a strong and positive impact,"The Prime Minister also made a strong impact in showing how the UK can work well with its partners in the EU , as together we find solutions to our common challenges .",to the challenges we face in common,"the prime minister has also made a strong and positive impact , demonstrating how britain can work effectively with its partners in the european union , together with solutions ."
"that helps people understand and solve complex problems ,","['that', 'helps', 'people', 'understand', 'and', 'solve', 'complex', 'problems', ',']","[17, 1419, 107, 674, 7, 3955, 1615, 747, 4, 1]",10,that helps people solve complex problems,"that helps people with complex problems ,",that helps people understand and solve complex problems,that helps people solve complex problems,"that helps you to grapple with hard problems ,",this is difficult to understand .
pain resists explanation as a simple sensation just as music resists explanation as simple tones,"['pain', 'resists', 'explanation', 'as', 'a', 'simple', 'sensation', 'just', 'as', 'music', 'resists', 'explanation', 'as', 'simple', 'tones']","[1355, 30108, 4129, 27, 10, 733, 10846, 81, 27, 445, 30108, 4129, 27, 733, 9577, 1]",16,Pain is n't explainable by simple sensation as music is n't by Simple tones,Simple sensation does n't explain pain as simple tones does n't explain music,"Pain resists explanation as a simple sensation , so music resists the same explanation",Pain is n't explainable by simple sensation as music is n't by Simple tones,pain resists explanation as a sensation just as music resists explanation as tones,the pain is simply as simple as it sounds .
Presentation by the President,"['presentation', 'by', 'the', 'president']","[3206, 33, 5, 1338, 1]",5,Presented by the President,Presidential Presentation,President 's presentation,Presented by the President,Presidential presentation .,president .
And most people draw something like this .,"['and', 'most', 'people', 'draw', 'something', 'like', 'this', '.']","[7, 126, 107, 2411, 227, 71, 35, 6, 1]",9,Most people draw something like this,and most people draw this,Most people draw this,Most people draw something like this,most people draw something like this,it is equally similar .
"and without using any words , you begin to draw how to make toast .","['and', 'without', 'using', 'any', 'words', ',', 'you', 'begin', 'to', 'draw', 'how', 'to', 'make', 'toast', '.']","[7, 260, 246, 105, 645, 4, 24, 1501, 8, 2411, 115, 8, 116, 11015, 6, 1]",16,"and without words , start drawing how to make toast .",and you draw a picture of how to make toast,"and without words , you draw how to make toast .","and without words , start drawing how to make toast .","without words , begin to draw how to make toast",you will start your words to make the floor .
which is how to make toast .,"['which', 'is', 'how', 'to', 'make', 'toast', '.']","[63, 13, 115, 8, 116, 11015, 6, 1]",8,how to make toast .,which is how toast is made,how to make toast .,how to make toast .,which is make toast .,as for us .
Europol is accountable to the Council of Ministers for Justice and Home Affairs .,"['europol', 'is', 'accountable', 'to', 'the', 'council', 'of', 'ministers', 'for', 'justice', 'and', 'home', 'affairs', '.']","[100020, 13, 11300, 8, 5, 4070, 9, 10748, 16, 3026, 7, 192, 5790, 6, 1]",15,Europol answers to the Council of Ministers for Justice and Home Affairs .,Europol reports to the Council of Ministers for Justice and Home Affairs .,Europol is accountable to Council of Ministers for Justice and Home Affairs .,Europol answers to the Council of Ministers for Justice and Home Affairs .,Europool is accountable to the Council of Ministers for Justice and Home Affairs,europol is responsible for justice and home affairs .
indicating that Earth is but one of billions of planets in our galaxy .,"['indicating', 'that', 'earth', 'is', 'but', 'one', 'of', 'billions', 'of', 'planets', 'in', 'our', 'galaxy', '.']","[6706, 17, 2381, 13, 44, 58, 9, 10346, 9, 10580, 12, 74, 11832, 6, 1]",15,indicating that Earth is just one of billions of planets in our galaxy .,showing that Earth is one of billions of planets in our galaxy .,showing that Earth is one of billions in our galaxy,indicating that Earth is just one of billions of planets in our galaxy .,so Earth is one of billions of planets in our galaxy .,this is the earth of a billion counts .
you have n't been able to enjoy things in life quite as much as you usually do .,"['you', 'have', ""n't"", 'been', 'able', 'to', 'enjoy', 'things', 'in', 'life', 'quite', 'as', 'much', 'as', 'you', 'usually', 'do', '.']","[24, 36, 100342, 78, 340, 8, 739, 222, 12, 206, 546, 27, 141, 27, 24, 775, 87, 6, 1]",19,You have n't been able to enjoy things in life as much as you usually do .,you do n't enjoy life,have n't enjoyed things in life as usual .,You have n't been able to enjoy things in life as much as you usually do .,you have n't been able to enjoy thinks quite as much as you usually do,"you could have some of things , as is usually happening ."
In a scenario that looks uncannily like the spread of a global pandemic the economist Thomas Holmes has prepared a dynamic map simulation showing the spread of Wal - Mart stores throughout the United States .,"['in', 'a', 'scenario', 'that', 'looks', 'uncannily', 'like', 'the', 'spread', 'of', 'a', 'global', 'pandemic', 'the', 'economist', 'thomas', 'holmes', 'has', 'prepared', 'a', 'dynamic', 'map', 'simulation', 'showing', 'the', 'spread', 'of', 'wal', '-', 'mart', 'stores', 'throughout', 'the', 'united', 'states', '.']","[12, 10, 5686, 17, 642, 2, 71, 5, 2259, 9, 10, 1305, 29680, 5, 14013, 45633, 105643, 51, 2132, 10, 3949, 1848, 9319, 1692, 5, 2259, 9, 2, 47, 61729, 2211, 979, 5, 9065, 1185, 6, 1]",37,"In a scenario like the spread of a global pandemic , the economist , Thomas Holmes , has prepared a dynamic map simulation showing the spread of Wal - Mart stores around the U.S.",In a scene that looks like a contagion the economist Thomas Holmes has made a map simulation showing the spread of Wal - Marts throughout the USA .,"In a scenario that looks like the spread of a global pandemic , Thomas Holmes has prepared a dynamic map simulation showing the spread of Wal - Mart stores throughout the United States","In a scenario like the spread of a global pandemic , the economist , Thomas Holmes , has prepared a dynamic map simulation showing the spread of Wal - Mart stores around the U.S.","like a global pandemic scene , the dynamic map , prepared by Thomas Holmes , shows the spread of Wal - Mart stores in the US","in a scenario that is emerging a global global pandemic , the economist economist has prepared a dynamic map of the internet in britain ."
Kepler is a space telescope,"['kepler', 'is', 'a', 'space', 'telescope']","[2, 13, 10, 602, 17615, 1]",6,Kepler is space telescope,Kepler space telescope,Kepler is telescope,Kepler is space telescope,"Kepler ,   a space telescope",space space .
The less we expect from a normal politician the more we look for a hero .,"['the', 'less', 'we', 'expect', 'from', 'a', 'normal', 'politician', 'the', 'more', 'we', 'look', 'for', 'a', 'hero', '.']","[5, 393, 53, 1386, 37, 10, 1343, 4736, 5, 57, 53, 220, 16, 10, 4733, 6, 1]",17,Lower political expectations requires a new hero .,"The less we expect from politics , the more we look for a hero .",The less we expect from a politician the more we look for a hero .,Lower political expectations requires a new hero .,The less we expect of a politician the more we want a hero .,we expect a man of which we will see him .
it is no surprise that CFC or freon smuggling has developed without much attention risks jeopardizing the Vienna Convention the Montreal Protocol .,"['it', 'is', 'no', 'surprise', 'that', 'cfc', 'or', 'freon', 'smuggling', 'has', 'developed', 'without', 'much', 'attention', 'risks', 'jeopardizing', 'the', 'vienna', 'convention', 'the', 'montreal', 'protocol', '.']","[23, 13, 102, 2605, 17, 2, 38, 2, 25021, 51, 1251, 260, 141, 1113, 4119, 75310, 5, 100265, 6390, 5, 100813, 6771, 6, 1]",24,CFC or freon smuggling has developed without attention risks jeopardizing the Vienna Convention the Montreal Protocol .,Its unsurprising that CFC or freon smuggling now risks the Vienna Convention and Montreal Protocol .,CFC or freon smuggling has started jeopardizing the Vienna Convention .,CFC or freon smuggling has developed without attention risks jeopardizing the Vienna Convention the Montreal Protocol .,it is no surprise that CFC or freon smuggling has developed without much attention,it is not a case of UNK or UNK of the risks of the århus .
"We combine this expertise to support policy learning and implementation , which fits the specic needs and priorities of each partner country .","['we', 'combine', 'this', 'expertise', 'to', 'support', 'policy', 'learning', 'and', 'implementation', ',', 'which', 'fits', 'the', 'specic', 'needs', 'and', 'priorities', 'of', 'each', 'partner', 'country', '.']","[53, 5010, 35, 4076, 8, 343, 913, 1129, 7, 4107, 4, 63, 4312, 5, 2, 511, 7, 8924, 9, 208, 1962, 463, 6, 1]",24,"We combine this expertise to support policy learning and implementation , which fits the specific need and priorities",We use our expertise for the needs of policy learning and implementation   for each partner country .,"We support policy learning and implementation , to meet the specific needs and priorities of each partner country .","We combine this expertise to support policy learning and implementation , which fits the specific need and priorities",together this expertise to support policy learning and implement the specific needs and priorities of each partner country,we are combining this experience to promote education and the priorities of each partner country .
"Working on behalf of the EU , we help our partner countries to develop people ’s skills and knowledge to promote better living conditions , active citizenship and democratic societies that respect human rights and cultural diversity .","['working', 'on', 'behalf', 'of', 'the', 'eu', ',', 'we', 'help', 'our', 'partner', 'countries', 'to', 'develop', 'people', '’s', 'skills', 'and', 'knowledge', 'to', 'promote', 'better', 'living', 'conditions', ',', 'active', 'citizenship', 'and', 'democratic', 'societies', 'that', 'respect', 'human', 'rights', 'and', 'cultural', 'diversity', '.']","[383, 21, 4430, 9, 5, 30998, 4, 53, 197, 74, 1962, 1094, 8, 1594, 107, 100008, 1257, 7, 1074, 8, 2777, 244, 630, 1156, 4, 1363, 9943, 7, 7886, 9082, 17, 1719, 676, 861, 7, 2435, 5215, 6, 1]",39,"Working for the EU , we help partner countries to develop people ’s skills and knowledge to promote better living conditions , active citizenship and democratic societies that respect human rights and cultural diversity .","Working on behalf of the EU , we help our partner countries to improve people 's skills and knowledge to promote better living conditions and democratic societies that respect human rights .","Working on behalf of the EU , we help our partner countries to develop human capacity , promote better living conditions , active citizenship and democratic societies that respect human rights and cultural diversity .","Working for the EU , we help partner countries to develop people ’s skills and knowledge to promote better living conditions , active citizenship and democratic societies that respect human rights and cultural diversity .","for the EU , we help countries to develop people 's skills to promote   better living conditions , active citizenship and democratic societies that respect human rights and cultural differences","on behalf of the eu , we help partner countries to develop the skills and knowledge of people , to promote better living conditions and societies ."
It offers a vital opportunity for the leaders of both the industrialised world and the emerging economies to work together on a common agenda for immediate economic stability and longer - term recovery .,"['it', 'offers', 'a', 'vital', 'opportunity', 'for', 'the', 'leaders', 'of', 'both', 'the', 'industrialised', 'world', 'and', 'the', 'emerging', 'economies', 'to', 'work', 'together', 'on', 'a', 'common', 'agenda', 'for', 'immediate', 'economic', 'stability', 'and', 'longer', '-', 'term', 'recovery', '.']","[23, 702, 10, 4672, 1068, 16, 5, 1849, 9, 210, 5, 85600, 213, 7, 5, 5503, 11100, 8, 136, 440, 21, 10, 785, 5384, 16, 3671, 1358, 5126, 7, 810, 47, 1029, 3132, 6, 1]",35,It offers a vital opportunity for the leaders to work together on a common agenda for immediate economic stability and longer - term recovery .,It provides an opportunity for leaders of both the industrialized and emerging world to work together on a common agenda for immediate economic stability and long - term recovery .,It offers leaders of the industrialized and the emerging economies to work together for economic stability and recovery .,It offers a vital opportunity for the leaders to work together on a common agenda for immediate economic stability and longer - term recovery .,economic stability,it offers vital opportunity for the leaders of both sides of the world developed and emerging economies for a rapid and short recovery .
As a result they are increasingly vulnerable to poor health,"['as', 'a', 'result', 'they', 'are', 'increasingly', 'vulnerable', 'to', 'poor', 'health']","[27, 10, 640, 54, 28, 3959, 6403, 8, 1502, 525, 1]",11,Consequently they are more vulnerable to bad health,as a result they 're increasingly vulnerable to poor health,Thus they are increasingly vulnerable to bad health,Consequently they are more vulnerable to bad health,therefore become vulnerable to illness .,it is therefore poor enough .
"Mr President , I believe that the level of interest in this matter far outweighs the crowd of people that have hurried into this Chamber this afternoon , which I regret once again for my group and for the others .","['mr', 'president', ',', 'i', 'believe', 'that', 'the', 'level', 'of', 'interest', 'in', 'this', 'matter', 'far', 'outweighs', 'the', 'crowd', 'of', 'people', 'that', 'have', 'hurried', 'into', 'this', 'chamber', 'this', 'afternoon', ',', 'which', 'i', 'regret', 'once', 'again', 'for', 'my', 'group', 'and', 'for', 'the', 'others', '.']","[17332, 1338, 4, 202, 509, 17, 5, 512, 9, 815, 12, 35, 732, 430, 46320, 5, 3165, 9, 107, 17, 36, 29255, 97, 35, 6145, 35, 2379, 4, 63, 202, 7762, 471, 262, 16, 50, 382, 7, 16, 5, 454, 6, 1]",42,"Mr President , I believe the level of interest in it far outweighs the many that have come here this afternoon , which I regret for my group and others .","Mr. President , I believe that the the interest in this matter outweigh the crowd that have came into this Chamber , which I regret for my group and others .","Mr president , I believe the level of interest of this matter is greater than the population in this chamber , which I regret for my group and others","Mr President , I believe the level of interest in it far outweighs the many that have come here this afternoon , which I regret for my group and others .","Mr. President , the level of interest in this matter outweighs the crowd of people who hurried into the Chamber , which I regret for both groups .","mr president , i think that the level of interest in question is very much to the people of those who have done this evening , and others ."
"We have recognised that it is in progress , namely that for the first time , the Council 's report systematically refers to the resolutions adopted by the European Parliament .","['we', 'have', 'recognised', 'that', 'it', 'is', 'in', 'progress', ',', 'namely', 'that', 'for', 'the', 'first', 'time', ',', 'the', 'council', ""'s"", 'report', 'systematically', 'refers', 'to', 'the', 'resolutions', 'adopted', 'by', 'the', 'european', 'parliament', '.']","[53, 36, 9707, 17, 23, 13, 12, 2210, 4, 7325, 17, 16, 5, 104, 77, 4, 5, 4070, 34, 609, 18308, 4737, 8, 5, 11382, 3816, 33, 5, 30493, 9331, 6, 1]",32,"We have recognised that it is in progress , in that the Council 's report systematically refers to the resolutions adopted by the European Parliament .",the council 's report systematically refers to the resolutions adopted by the European,We recognized that for the first time the Council 's report systematically refers to the resolutions adopted by the European Parliament .,"We have recognised that it is in progress , in that the Council 's report systematically refers to the resolutions adopted by the European Parliament .",the councils report refers to resolutions by EU parliament,"we have recognised that it is under way , that the council report regularly refers to resolutions adopted by the house ."
These needs include an understanding of the very meaning of the European project : a meaning that goes beyond the confines of the market and the institutions and encourages the qualitative development of our society .,"['these', 'needs', 'include', 'an', 'understanding', 'of', 'the', 'very', 'meaning', 'of', 'the', 'european', 'project', ':', 'a', 'meaning', 'that', 'goes', 'beyond', 'the', 'confines', 'of', 'the', 'market', 'and', 'the', 'institutions', 'and', 'encourages', 'the', 'qualitative', 'development', 'of', 'our', 'society', '.']","[130, 511, 459, 42, 1509, 9, 5, 110, 1771, 9, 5, 30493, 575, 14, 10, 1771, 17, 832, 1400, 5, 26148, 9, 5, 542, 7, 5, 3331, 7, 9044, 5, 17179, 614, 9, 74, 1604, 6, 1]",37,These needs include an understanding of the very meaning of the EU project : a meaning that goes beyond the confines of the market and the institutions and encourages the qualitative development of society .,"These needs include and understanding of the meaning of the European project , which goes beyond the confines of the market and institutions , and encourages the qualitative development of our society .","These needs include an understanding of what the European project means : a meaning that goes beyond markets and institutions , and encourages the development of our society .",These needs include an understanding of the very meaning of the EU project : a meaning that goes beyond the confines of the market and the institutions and encourages the qualitative development of society .,This includes the meaning of the European project beyond economic needs .,these requirements include a understanding of the concept of the european project : a concept that goes beyond the market and the european union .
"Through this programme , the Committee calls on the European institutions , the Member States , the political and social powers , and hence , on citizens of the European Union , to ensure that the European elections are about European issues and not only about matters of national interest .","['through', 'this', 'programme', ',', 'the', 'committee', 'calls', 'on', 'the', 'european', 'institutions', ',', 'the', 'member', 'states', ',', 'the', 'political', 'and', 'social', 'powers', ',', 'and', 'hence', ',', 'on', 'citizens', 'of', 'the', 'european', 'union', ',', 'to', 'ensure', 'that', 'the', 'european', 'elections', 'are', 'about', 'european', 'issues', 'and', 'not', 'only', 'about', 'matters', 'of', 'national', 'interest', '.']","[148, 35, 4224, 4, 5, 3207, 1729, 21, 5, 30493, 3331, 4, 5, 682, 1185, 4, 5, 873, 7, 624, 3719, 4, 7, 5414, 4, 21, 2878, 9, 5, 30493, 3863, 4, 8, 1312, 17, 5, 30493, 4035, 28, 59, 30493, 650, 7, 40, 103, 59, 2922, 9, 904, 815, 6, 1]",52,The programme calls on the Committee . to ensure that the European elections are about European issues to ensure that the European elections are about European issues .,"Through this programme , the Committee calls on European institutions , the Member States , and on the citizens of the EU , to ensure that the elections are about European issues and not only about matters of national interest .","Through this programme , the Committee call on European institutions , the Member states , political and social powers , and the citizens of the European Union to ensure that the elections are about European issues and not just matters of national interest .",The programme calls on the Committee . to ensure that the European elections are about European issues to ensure that the European elections are about European issues .,"Through this programme , the Committee calls on the EU institutions , the Member States , the political and social powers , and hence , on citizens of the EUU , to ensure that the European elections are about EU issues .","with this programme , the commission is calling the european institutions , the member states , political and social powers and hence on the citizens of the european union to ensure that european elections are ."
The establishment of Europol was agreed in the Maastricht Treaty on European Union of 7 February 1992 .,"['the', 'establishment', 'of', 'europol', 'was', 'agreed', 'in', 'the', 'maastricht', 'treaty', 'on', 'european', 'union', 'of', '7', 'february', '1992', '.']","[5, 5449, 9, 100020, 26, 2620, 12, 5, 100027, 10669, 21, 30493, 3863, 9, 217, 51015, 3086, 6, 1]",19,The Europol establishment accepted the Maastricht Treaty on European Union of 7 February 1992 .,The establishment of Europol was agreed in the Maastricht Treaty of 7 February 1992 .,The Maastricht Treaty on European Union of 7 February 1992 established Europol .,The Europol establishment accepted the Maastricht Treaty on European Union of 7 February 1992 .,the establishment of Europol was agreed in the Maastricht Treaty on European Union of 02/07/1992,the europol treaty was agreed in the maastricht treaty on 7 february 1992 on eu treaty . europol ) UNK ) ) ) UNK ) ) UNK ) ) UNK ) ) february 1992 ) UNK ) ) UNK )
Even so they are immune to water - related disasters as Hurricane Katrina s destruction of New Orleans taught us,"['even', 'so', 'they', 'are', 'immune', 'to', 'water', '-', 'related', 'disasters', 'as', 'hurricane', 'katrina', 's', 'destruction', 'of', 'new', 'orleans', 'taught', 'us']","[146, 62, 54, 28, 6174, 8, 350, 47, 914, 13404, 27, 12120, 104046, 49, 5383, 9, 96, 90053, 2679, 138, 1]",21,Even so they 're immune to water disasters as Hurricane Katrina 's destruction of New Orleans,They are still open though to water disasters such as Hurricane Katrina 's destruction of New Orleans,"Even so , they are immune to water - related disasters as Hurricane Katrina taught us in New Orleans",Even so they 're immune to water disasters as Hurricane Katrina 's destruction of New Orleans,but   are still at risk of disasters such as Hurricane Katrina 's destruction in New Orleans .,"this is also natural disasters , as catastrophic disasters of hurricane hurricane mitch ."
Many doctors would like to think of pain as a simple sensation that usefully calls disease or injury to our attention,"['many', 'doctors', 'would', 'like', 'to', 'think', 'of', 'pain', 'as', 'a', 'simple', 'sensation', 'that', 'usefully', 'calls', 'disease', 'or', 'injury', 'to', 'our', 'attention']","[143, 3566, 75, 71, 8, 144, 9, 1355, 27, 10, 733, 10846, 17, 61212, 1729, 1587, 38, 2434, 8, 74, 1113, 1]",22,Many doctors believe pain indicates disease or injury .,Many doctors think of pain as a simple sensation that calls disease and injury to our attention,Many doctors think of pain as a sensation that calls to attention disease and injury,Many doctors believe pain indicates disease or injury .,many doctors would like to think of pain as a sensation that usefully calls disease,many doctors would be a mere impression that this is a simple coincidence .
We must meet those challenges .,"['we', 'must', 'meet', 'those', 'challenges', '.']","[53, 286, 840, 173, 2454, 6, 1]",7,Need to meet challenges .,We must meet those challenges .,We must meet them .,Need to meet challenges .,we must beat challenges,we are facing .
it was very cold .,"['it', 'was', 'very', 'cold', '.']","[23, 26, 110, 1532, 6, 1]",6,it was very cold .,it was very cold .,it was very cold .,it was very cold .,it 's very cold .,it was .
This yearning for providential men or women in our global age results from at least three factors .,"['this', 'yearning', 'for', 'providential', 'men', 'or', 'women', 'in', 'our', 'global', 'age', 'results', 'from', 'at', 'least', 'three', 'factors', '.']","[35, 27972, 16, 2, 581, 38, 466, 12, 74, 1305, 626, 618, 37, 29, 388, 251, 2145, 6, 1]",19,This desire for such men or women in this time comes from 3 factors .,This yearning for providential people in our age results from three factors .,This want of providential people in our global age results from at least three factors .,This desire for such men or women in this time comes from 3 factors .,Three factors result in a yearning for providential men / women in our global age .,this desire to UNK UNK or women in our three areas .
"and the physician is a little worried because you 've been blue ,","['and', 'the', 'physician', 'is', 'a', 'little', 'worried', 'because', 'you', ""'ve"", 'been', 'blue', ',']","[7, 5, 5764, 13, 10, 205, 4246, 134, 24, 232, 78, 1458, 4, 1]",14,The physician is worried that you have been blue .,and the doctor is worried about your sadness,"and the doctor is concerned because you 've been blue ,",The physician is worried that you have been blue .,and the physician is a little worried because you 're a little blue,"it is a very serious matter , too ."
"that measures the subtle dimming of stars as planets pass in front of them ,","['that', 'measures', 'the', 'subtle', 'dimming', 'of', 'stars', 'as', 'planets', 'pass', 'in', 'front', 'of', 'them', ',']","[17, 2741, 5, 6245, 51048, 9, 1917, 27, 10580, 1383, 12, 600, 9, 92, 4, 1]",16,"that measures the dimming of stars as planets pass them ,","that measures the subtle dimming of stars as planets pass of them ,","that measures the subtle dimming of stars as planets pass in front of them ,","that measures the dimming of stars as planets pass them ,",the subtle dimming of stars as planets pass in front of them,"the measures of UNK , which have been presented ."
"In this case , for general information you may also contact the consulate of a Schengen country in the country where you are currently living .","['in', 'this', 'case', ',', 'for', 'general', 'information', 'you', 'may', 'also', 'contact', 'the', 'consulate', 'of', 'a', 'schengen', 'country', 'in', 'the', 'country', 'where', 'you', 'are', 'currently', 'living', '.']","[12, 35, 358, 4, 16, 755, 199, 24, 121, 80, 714, 5, 34046, 9, 10, 100071, 463, 12, 5, 463, 145, 24, 28, 804, 630, 6, 1]",27,For general information you can contact your local Schengen consulate .,for general information in this case contact the consulate of Schengen in your current country,"In this case , for general information you may also contact the consulate of a Schengen in the country where you 're living .",For general information you can contact your local Schengen consulate .,"for general information , contact the consulate of a Schengen country where you currently live .","in this case , you can contact the consulate of a country of schengen in the country ."
"but at midnight , it could take a while for a locksmith to show up ,","['but', 'at', 'midnight', ',', 'it', 'could', 'take', 'a', 'while', 'for', 'a', 'locksmith', 'to', 'show', 'up', ',']","[44, 29, 7747, 4, 23, 137, 178, 10, 191, 16, 10, 33275, 8, 290, 66, 4, 1]",17,but it could be ages before he came,but it was late and he 'd be some time,"but it could take a while for a locksmith to show up ,",but it could be ages before he came,"but midnight , it could for a locksmith to show up","on midnight , however , another is to be taken ."
Disillusion with politics politicians also is a key element of our yearning for providential leaders .,"['disillusion', 'with', 'politics', 'politicians', 'also', 'is', 'a', 'key', 'element', 'of', 'our', 'yearning', 'for', 'providential', 'leaders', '.']","[105324, 22, 2676, 5218, 80, 13, 10, 864, 3007, 9, 74, 27972, 16, 2, 1849, 6, 1]",17,Disillusion with politics is a key factor in wanting providential leaders .,Political disillusion is key to our yearning for providential leaders .,Disillusion with politics is also key for our desire for great leaders .,Disillusion with politics is a key factor in wanting providential leaders .,Political disillusion leads to a need for providential leaders .,political politicians are also a key element of development groups .
The next item is the joint debate on :,"['the', 'next', 'item', 'is', 'the', 'joint', 'debate', 'on', ':']","[5, 258, 1497, 13, 5, 3405, 1783, 21, 14, 1]",10,Next item is the joint debate on :,joint debate on,The next agenda item :,Next item is the joint debate on :,the next item is the debate on,the next item is joint debate
